source,text,url,likes,shares,comments
5 dias,Liderazgo con inteligencia emocionalEl desarrollo del liderazgo emocional es fundamental para desplegar el liderazgo en una empresa. Los exitos de los grandes empresarios se encuentran en fomentar el buen trato a las personas. Algunos de los temas a tocar en la conferencia: El líder ¿nace o se hace? ¿Cómo desarrollamos el genio que tenemos dentro? Pasos claves para convertirte en un líder emocional.,www.facebook.com/182736288436188_955377281250680,6,0,3
5 dias,"Monalisa llega a Asunción con las marcas más sofisticadas del mundo - Diario 5dias http://www.5dias.com.py/46458-monalisa-llega-a-asuncion-con-las-marcas-mas-sofisticadas-del-mundoEl Diario con la mejor información económica, para lectores influyentes #Paraguay",www.facebook.com/182736288436188_1104088939634247,5,1,0
5 dias,"Deporte, bienestar y salud, el combo para un buen negocio - Diario 5diasND Wellness Center es un complejo orientado a personas que desean lle­var una vida en equilibrio, combinando el deporte, el bienestar y la salud.",www.facebook.com/182736288436188_1104072882969186,4,4,0
5 dias,Taller 5días: liderazgo e inteligencia emocional - Diario 5dias http://www.5dias.com.py/46464-taller-5dias-liderazgo-e-inteligencia-emocional¿De qué forma genera­mos las habilidades de la inteligencia emocional?,www.facebook.com/182736288436188_1104030626306745,4,0,0
5 dias,Bares del centro plantean interesantes actividades - Diario 5dias http://www.5dias.com.py/46465-bares-del-centro-plantean-interesantes-actividadesAmcha plantea varias actividades para revitalizar el Centro Histórico de Asunción.,www.facebook.com/182736288436188_1104028759640265,208,4,1
5 dias,"El MIC descartó más de 600 normativas - Diario 5dias http://www.5dias.com.py/46467-el-mic-descarto-mas-de-600-normativasAyer se realizó el lanza­miento del informe final de histórico proyecto que reduce normas jurídi­cas para el Ministerio de Industria y Comercio, el acto se llevó a cabo en el teatro del Hotel Guaraní y se contó con la presen­cia del presidente de la República, Horacio Car­tes; José Antonio Moreno Ro...",www.facebook.com/182736288436188_1104028292973645,0,0,0
5 dias,Los alemanes quedaron encantados con el asado - Diario 5dias http://www.5dias.com.py/46466-los-alemanes-quedaron-encantados-con-el-asadoEl día de ayer se realizó en Alemania la “Degustación de la Carne Paraguaya”. La misma fue ofrecida por la Embajada del Paraguay en dicho país.,www.facebook.com/182736288436188_1104027836307024,75,14,0
5 dias,"Desirée acusó al ministro Peña de mentir sobre el informe del FMI - Diario 5diasLa senadora Desirée Masi criticó las afirmaciones de Santiago Peña sobre el buen resultado de la política de atraer inversión al país, durante la sesión ordinaria de la Cámara Alta, el día de ayer.",www.facebook.com/182736288436188_1104022562974218,0,2,0
5 dias,"Postergan nuevamente la reforma de la carta orgánica del BNF - Diario 5diasPor falta de dictamen, los senadores resolvieron postergar el estudio del Proyecto de Ley ‘‘De reforma de la Carta Orgánica del Banco Nacional de Fomento’’, remitido por el Poder Ejecutivo en fecha 26 de noviembre de 2015.",www.facebook.com/182736288436188_1104022356307572,0,2,0
5 dias,"Senadores aprueban una ampliación para el MAG - Diario 5diasCon modificaciones, el Senado dio media sanción al proyecto que contempla la ampliación dentro de la Administración Central (Ministerio de Agricultura y Ganadería) que asciende a la suma de G. 4.088.842.240, destinada a fortalecer la competitividad del sector pecuario de aves, cerdos y leche bovina....",www.facebook.com/182736288436188_1104022296307578,1,0,1
