source,created_time,text,url,likes,shares,comments
E'a,2016-05-16T18:54:04+0000,"Advierten sobre varias debilidades del Plan Maestro del Puerto de Asunción - E'a http://ea.com.py/v2/realizaron-conversatorio-sobre-el-plan-maestro-del-puerto-de-asuncion/El pasado jueves 12 de mayo, en el Aula Magna de la Facultad de Arquitectura de la UNA, se realizó un conversatorio sobre el Plan de Puertos",www.facebook.com/145406955472712_1281825661830830,3,4,1
E'a,2016-05-14T21:47:00+0000,"Independencia del Paraguay: celebrar, pero desde la condición colonial - E'a Suplemento Cultural El Baldío. http://ea.com.py/v2/el-baldio/independencia-del-paraguay-celebrar-pero-desde-la-condicion-colonial/ Por Arístides Ortiz.¿Es independiente el Paraguay contemporáneo? Esta es la pregunta central que debemos respondernos en este día. ",www.facebook.com/145406955472712_1280656331947763,48,18,3
E'a,2016-05-14T15:51:34+0000,"La Múcura, en Aregua - E'aEn La Quijote, Rodríguez de Francia entre Mcal. López y La Candelaria, de las 20.00, la banda experimental colombiana presentará el concierto “caminantas”. La acompañarán Claudia Miranda, Mónica Airaldi y Elena Soteras, completando un ruedo de chicas con mucha fuerza interpretativa.",www.facebook.com/145406955472712_1280459781967418,9,2,0
E'a,2016-05-13T12:09:21+0000,"Voces de la arquitectura Ravizza en el CHA - E'a Suplemento Cultural El Baldío. http://ea.com.py/v2/el-baldio/voces-de-la-arquitectura-ravizza-en-el-cha/ Por Ramón Duarte.Las obras de Alejandro Ravizza, ubicadas dentro del Centro Histórico de Asunción (CHA),  hablan a voces de una multitud de hechos, acontecimientos y personajes de la historia paraguaya.",www.facebook.com/145406955472712_1279701068709956,10,8,0
E'a,2016-05-12T19:26:36+0000,"Fiscalía allana oficina de la ANNP por entrega del puerto de Villeta - E'a http://ea.com.py/v2/fiscalia-allana-oficina-de-la-annp-por-entrega-del-puerto-de-villeta/La oficina de la ANNP en Asunción fue allanada esta mañana por el fiscal Hernán Galeano, quien investiga la eventual realización de hechos punibles en la entrega del puerto de Villeta en alquiler,  por 20 años,  a un peluquero quien posteriormente habría cedido sus derechos a empresarios argentinos…",www.facebook.com/145406955472712_1279278748752188,24,28,1
E'a,2016-05-12T19:20:08+0000,"Caso Curuguaty: casi cuatro años después realizarán reconstrucción de los hechos - E'a El tribunal de sentencia del Caso Curuguaty fijó para el próximo 19 de mayo la reconstrucción de los hechos en el lugar donde ocurrió la masacre de Curuguaty el 15 de junio de 2012.El tribunal de sentencia del Caso Curuguaty fijó para el próximo 19 de mayo la reconstrucción de los hechos en el lugar donde ocurrió la masacre de Curuguaty el 15 de junio de 2012, a casi cuatro años de la tragedia que fue utilizada para derrocar al gobierno de Fernando Lugo.",www.facebook.com/145406955472712_1279275445419185,26,30,6
E'a,2016-05-12T18:48:27+0000,"“Nos persiguen por ser pobres, por luchar por un pedazo de tierra” - E'a En entrevista concedida al programa radial Mandioca Radioactiva, Dolores López relató los momentos posteriores a la masacre, su detención y apresamiento con su hijo de tres años minutos después del tiroteo, que dejó diecisiete personas muertas en las tierras públicas de Marina Kue.Dolores López Peralta es una de las doce personas procesadas por el caso de la masacre de Curuguaty ocurrida el 15 de junio de 2012. En entrevista concedida al programa radial Mandioca Radioactiva, relató los momentos posteriores a la masacre, su detención y apresamiento con su hijo de tres años min...",www.facebook.com/145406955472712_1279259578754105,87,85,7
E'a,2016-05-12T14:28:24+0000,"Debaten propuesta para remover memorial de Chiang Kai-shek en Taiwán - E'a Legisladores taiwaneses se encuentran debatiendo una propuesta para remover el memorial erigido en honor al extinto dictador Chiang Kai-shek, que durante su régimen asesinó y encarceló a miles de opositores.Legisladores taiwaneses se encuentran debatiendo una propuesta para remover el memorial erigido en honor a extinto dictador Chiang Kai-shek, informó el sitio Voice of America (VOA). La estatua de seis metros de alto se encuentra instalada en la capital taiwanesa, Taipéi, desde el año 1980.",www.facebook.com/145406955472712_1279126855434044,39,21,1
E'a,2016-05-12T14:25:09+0000,"Vierci abrió cuenta offshore en las Bahamas - E'a El empresario Antonio Juan Bautista Vierci Mendoza, propietario de firmas importadoras y del más grande conglomerado de medios del país, abrió el 19 de julio de 1996 una cuenta bancaria en las Bahamas a nombre de la firma Juampa Trading Corp.El empresario Antonio Juan Bautista Vierci Mendoza, propietario de firmas importadoras y del más grande conglomerado de medios en el país, abrió el 19 de julio de 1996 una cuenta bancaria en las Bahamas a nombre de la firma Juampa Trading Corp, de la cual el empresario paraguayo aparece como accioni...",www.facebook.com/145406955472712_1279125392100857,7,8,0
E'a,2016-05-12T12:44:12+0000,"El Plan CHA destaca en estas fiestas patrias el valor del Centro Histórico de Asunción - E'a Suplemento Cultural El Baldío. http://ea.com.py/v2/el-baldio/el-plan-cha-destaca-en-estas-fiestas-patrias-el-valor-del-centro-historico-de-asuncion/La Secretaría Ejecutiva del Consejo del Poder Ejecutivo para el Plan Maestro de Revitalización del Centro Histórico de Asunción (Plan CHA), emitió ayer un comunicado en el que rinde tributo a la patria por el aniversario de su independencia, y destaca la necesidad de “preservar y cuidar nuestros pat...",www.facebook.com/145406955472712_1279071318772931,4,3,1
E'a,2016-05-11T21:55:18+0000,"Mc Donalds, Stock, Cervepar y Tigo denunciadas por discriminar a personas con VIH/Sida - E'a http://ea.com.py/v2/mc-donalds-stock-cervepar-denunciadas-por-discriminar-a-personas-con-vihsida/Entre las denunciadas están el Supermercado Los Jardines, Hotel Borboun, Retail, Mc. Donalds, Cavalaro SACI, Personal, Tigo, Supermercado Stock y Hotel Sheraton. La lista además incluye a Casa Paraná, Il Mangiare, Frigorífico Concepción, Contacto SRL, Cidesa, Petrosur, Policlínico Naval, Harinero, B...",www.facebook.com/145406955472712_1278667865479943,62,126,6
E'a,2016-05-11T20:53:38+0000,"Vierci abrió cuenta offshore en las Bahamas - E'a Las firmas offshore están a menudo asociadas a movimientos financieros ilegales con el fin de realizar lavado de dinero, evasión de impuestos y fraudes http://ea.com.py/v2/vierci-abrio-cuenta-offshore-en-las-bahamas/El empresario Antonio Juan Bautista Vierci Mendoza, propietario de firmas importadoras y del más grande conglomerado de medios en el país, abrió el 19 de julio de 1996 una cuenta bancaria en las Bahamas a nombre de la firma Juampa Trading Corp, de la cual el empresario paraguayo aparece como accioni...",www.facebook.com/145406955472712_1278635688816494,51,55,7
E'a,2016-05-11T15:02:23+0000,"Cuatro bares que cuentan historias del Centro de Asunción - E'a Por Arístides Ortiz. Suplemento Cultural El Baldío. http://ea.com.py/v2/el-baldio/cuatro-bares-que-testimonian-la-vida-del-centro-historico-de-asuncion/Breves viajes a calles, edificios, hechos y personajes al pasado del Centro Histórico de Asunción desde sus cuatro lugares gastronómicos más tradicionales.",www.facebook.com/145406955472712_1278474135499316,307,96,11
E'a,2016-05-10T18:31:10+0000,"Caso puerto de Villeta: ANNP pone y paga todo, pero PTP Group factura - E'a Cartes y el presidente de Puertos, Héctor Duarte Chávez, durante una reunión en Palacio. http://ea.com.py/v2/blogs/caso-puerto-de-villeta-annp-pone-y-paga-todo-pero-ptp-group-factura/ Por Jorge Villalba DígaloLa mitad del puerto de Villeta de propiedad de la Administración Nacional de Navegación y Puertos (ANNP), entregada en oscuras condiciones en alquiler a PTP Group, viene siendo explotada por empresarios que estarían relacionados con Lázaro Baez, el empresario argentino detenido y  procesado por lava...",www.facebook.com/145406955472712_1277962368883826,17,24,5
E'a,2016-05-10T12:21:58+0000,"Fiscalía investiga oscura concesión del puerto de Villeta a peluquero y empresa argentina - E'a La concesión se concretó durante el gobierno de Cartes. http://ea.com.py/v2/fiscalia-investiga-oscura-concesion-del-puerto-de-villeta-a-peluquero-y-empresario-argentino/La Fiscalía General del Estado procedió, de oficio, a investigar la denuncia de supuesto delito cometido en el proceso de concesión del Puerto de Villeta por la Administración Nacional de Navegación y Puertos (ANNP) a las empresas integradas PTP Group (argentina) y Gregser SA (paraguaya).",www.facebook.com/145406955472712_1277785725568157,25,45,6
E'a,2016-05-08T11:56:10+0000,"Paraguay tiene una educación “colonial y empresarial” - E'a El antropólogo y educador popular dice que el conocimiento científico debe ayudarnos a entender y transformar nuestra realidad inmediata. conhttp://ea.com.py/v2/paraguay-tiene-una-educacion-colonial-y-empresarial-2/ Por Julio Benegas Vidallet.René Alfonso, licenciado en Trabajo Social, con una maestría en Antropología, es integrante del movimiento de educación popular de nuestro país. En Educación formal, había promovido, con otros educadores, las escuelas carpa para asistir a miles de criaturas asentadas en Ñacunday, Alto Paraná (2010-2...",www.facebook.com/145406955472712_1276389945707735,80,77,9
