Source,Text,URL,Favorites,Retweets
Ultima Hora,La hinchada más fiel del mundo bate su propio récord https://t.co/wtObq4p9aA vía @D10py https://t.co/jY9aGh3K4T,http://www.twitter.com/UltimaHoracom/status/731217067123326978,5,4
Ultima Hora,Procesan a Cristina Kirchner en caso Banco Central https://t.co/yBQCgonRvI https://t.co/8aHdCKUQLz,http://www.twitter.com/UltimaHoracom/status/731212834856665089,4,5
Ultima Hora,[MUNDO] Puerto Rico registra primer caso de microcefalia severa https://t.co/2hIgT4E6d6 https://t.co/xpbHN5AARV,http://www.twitter.com/UltimaHoracom/status/731209565266685953,1,5
Ultima Hora,Desde el 24 aplicarán multas por no usar paradas de buses https://t.co/xPeb3K258o https://t.co/S84FtFblIB,http://www.twitter.com/UltimaHoracom/status/731206934246899713,12,13
Ultima Hora,Caso Forex: Acusadas ofrecen ambulancias para reparar daño https://t.co/NLcPziW1et https://t.co/uql93w7aly,http://www.twitter.com/UltimaHoracom/status/731202139704328198,1,0
Ultima Hora,Homenajean a madres en centro de rehabilitación https://t.co/zKAl7d1mbC https://t.co/MC9GxAQMmx,http://www.twitter.com/UltimaHoracom/status/731197885426077696,3,6
Ultima Hora,"[MUNDO] Francisco califica de ""enfermedad social"" el desempleo juvenil. https://t.co/cgJOUt2bGV https://t.co/CwOLDXKNad",http://www.twitter.com/UltimaHoracom/status/731194820035784706,13,10
Ultima Hora,#ETC Los carteros en EEUU sufrieron 6.549 ataques caninos en 2015 https://t.co/jG1hv1oomW https://t.co/gEbOm9jV7Y,http://www.twitter.com/UltimaHoracom/status/731192343370567680,4,10
Ultima Hora,"Zapag pone en duda a Gustavo Morínigo: ""Está de exámenes finales"" https://t.co/KYqblEjKgg vía @D10py https://t.co/7f7iine49G",http://www.twitter.com/UltimaHoracom/status/731189650509828096,7,8
Ultima Hora,Proponen utilizar baldíos como huertas en Lambaré https://t.co/5tq6gS9ec1 https://t.co/nAYgsy3Co5,http://www.twitter.com/UltimaHoracom/status/731187284091904000,15,11
Ultima Hora,McLeod pide respetar asueto y no mirar solo lo económico. https://t.co/KiSUl5zGLW https://t.co/btBfq8Vj85,http://www.twitter.com/UltimaHoracom/status/731184128499011584,10,5
Ultima Hora,"Luz María ofrece un show gratuito en Multiplaza, mañana https://t.co/73UPbaMdHk https://t.co/Xn89DQUKid",http://www.twitter.com/UltimaHoracom/status/731181542693842944,9,9
Ultima Hora,Dos camaristas se inhibieron del caso del ministro Blanco https://t.co/qWinRXwpMa https://t.co/gni2E4v0E9,http://www.twitter.com/UltimaHoracom/status/731179255917334528,1,4
Ultima Hora,Fueron hasta Santa Rita para pedir intervención https://t.co/TAoiGXhwYB https://t.co/yNf3gmbGEw,http://www.twitter.com/UltimaHoracom/status/731176975847567360,11,5
Ultima Hora,En Guairá ya se tienen vacunas antigripales https://t.co/jFfLk9Cm57 https://t.co/czMDGEF3uG,http://www.twitter.com/UltimaHoracom/status/731173406884794368,8,0
Ultima Hora,Advierten: El pensamiento crítico está en peligro https://t.co/fBbaUoOSMl https://t.co/wF4SxHLbgA,http://www.twitter.com/UltimaHoracom/status/731169938606424068,14,18
Ultima Hora,Ante asueto en CDE paraguayos van a comprar al Brasil https://t.co/QpqQMcAH8C https://t.co/lSFcaBLyqn,http://www.twitter.com/UltimaHoracom/status/731165909767888896,10,7
Ultima Hora,Morínigo reducirá su plantel de 36 a 23 y pide 4 refuerzos para el segundo semestre https://t.co/Oq0IhSsbM4  #D10 https://t.co/IedvQGNa1S,http://www.twitter.com/UltimaHoracom/status/731158332329713664,14,11
Ultima Hora,"Pese a control de asistencia, IPS no consigue erradicar a los planilleros. https://t.co/O465BtUTYP https://t.co/xfvKiUGHEI",http://www.twitter.com/UltimaHoracom/status/731155544984129536,3,11
Ultima Hora,Policía frustró intento de asalto en barrio Herrera https://t.co/2VfYLCkC8J https://t.co/1DkO88Yf7G,http://www.twitter.com/UltimaHoracom/status/731152976727969792,7,9
Ultima Hora,Clausuran cooperativa por abrir en asueto declarado por McLeod https://t.co/YILLyOYIt7 https://t.co/lpAh388coh,http://www.twitter.com/UltimaHoracom/status/731148621891182592,6,19
Ultima Hora,Curuguaty celebra sus 300 años https://t.co/rnKt4EMUlB https://t.co/EdnctHQ1f3,http://www.twitter.com/UltimaHoracom/status/731146501527834625,11,4
Ultima Hora,Renuncia a la Corte hija del ministro Torres Kirmser https://t.co/JMNtErDwgn https://t.co/qV9cmbuyAy,http://www.twitter.com/UltimaHoracom/status/731143963801853952,8,11
Ultima Hora,[MUNDO] Activistas denuncian una masacre de civiles en Siria https://t.co/6yFCZx7fyx https://t.co/MtwXllzO9e,http://www.twitter.com/UltimaHoracom/status/731140974030819329,2,10
Ultima Hora,Itinerario de la línea 9 será cubierto por la línea 33 https://t.co/hwG8L6BuPe https://t.co/rV3lqDfEHe,http://www.twitter.com/UltimaHoracom/status/731137286604214272,8,15
Ultima Hora,#OpiniónUH Emergencia educativa - Por Carolina Cuenca https://t.co/RuncuRBiAf https://t.co/QXbant9rRi,http://www.twitter.com/UltimaHoracom/status/731134324049883136,6,7
Ultima Hora,Suboficial resulta herido al verificar apertura de banco https://t.co/rIcpVCqLCI,http://www.twitter.com/UltimaHoracom/status/731131736504074240,2,2
Ultima Hora,"El campeón de la Premier fija sus ojos en el ""Tonny"" https://t.co/nRyXEnuVNW vía @D10py https://t.co/ispIufnngB",http://www.twitter.com/UltimaHoracom/status/731128300370837504,21,35
Ultima Hora,Puja por presidencia del Congreso https://t.co/hTfGSYom4r https://t.co/ofZkCL0RYV,http://www.twitter.com/UltimaHoracom/status/731125998796873728,3,7
Ultima Hora,Puertas para discapacitados deben ser habilitadas solamente por el chofer https://t.co/5gEd3MgoLv https://t.co/Q5u42byHL7,http://www.twitter.com/UltimaHoracom/status/731121455904260096,10,8
Ultima Hora,Vías alternativas rotas y caos por obras viales y sanitarias https://t.co/6DLjXH5K7Y https://t.co/WxxG0dBMl5,http://www.twitter.com/UltimaHoracom/status/731116746350825472,7,7
Ultima Hora,Carne paraguaya deslumbra a los alemanes en Berlín. ¿Qué opinas? https://t.co/GSl85LLJoC https://t.co/4R3icPzWWN,http://www.twitter.com/UltimaHoracom/status/731108605047504896,38,47
Ultima Hora,Gobernador de Guairá niega haber declarado asueto el 14 de mayo https://t.co/TKd8V76mfN https://t.co/SVj0wq9fqA,http://www.twitter.com/UltimaHoracom/status/731104933634658308,4,11
Ultima Hora,CDE: Es ilegal obligar a comercios a cerrar por asueto https://t.co/PdqAb7kxMf https://t.co/WxO4rSjNcJ,http://www.twitter.com/UltimaHoracom/status/731102051447492608,14,7
Ultima Hora,"Bullying, una enfermedad que aísla a la gente https://t.co/8RaD0aEaYM https://t.co/ScfVVH5nXz",http://www.twitter.com/UltimaHoracom/status/731098874128023552,13,12
Ultima Hora,También Canindeyú tuvo casas que no culminó la era Franco https://t.co/n5KwX4MCqC https://t.co/QmdNEsXmFn,http://www.twitter.com/UltimaHoracom/status/731095463433240576,5,5
Ultima Hora,Futura presidenta de Taiwán visitará Paraguay https://t.co/ezFDjTXcAn https://t.co/G0Dis8oRFs,http://www.twitter.com/UltimaHoracom/status/731092793955917824,9,4
