source,created_time,text,url,likes,shares,comments
5 dias,2016-05-16T21:25:44+0000,La Expo Santa Rita aglomeró a más de 400 empresas en el Este,www.facebook.com/182736288436188_1106083346101473,1,0,0
5 dias,2016-05-16T20:27:36+0000,Importación de acero cae 29% en el último año,www.facebook.com/182736288436188_1106059499437191,0,1,0
5 dias,2016-05-16T17:32:31+0000,"Gobernanza de Actores Públicos y Privados en el manejo de Recursos para la Educación ( Parte 2)... ""En los últimos 50 años, el Paraguay ha experimentado un profundo déficit en materia de educación primaria, secundaria y universitaria. Gran parte del problema, pero no todo, se ha debido a la falta de inversión""En los últimos 50 años, el Paraguay ha experimentado un profundo déficit en materia de educación primaria, secundaria y universitaria. Gran parte del problema, pero no todo, se ha debido a la falta de inversión. Lo destinado para el sector educativo ha sido históricamente absolutamente insuficiente....",www.facebook.com/182736288436188_1105953756114432,2,2,0
5 dias,2016-05-16T13:32:45+0000,"‘‘Lo ideal es invertir en personal calificado’’ - Diario 5dias ""En nuestro  caso, el ob­jetivo es brindar servicios médicos de calidad, man­teniendo un trato huma­nizado en la atención del paciente y de sus familia­res, acompañado con la Inversión en Tecnología y equipamiento médico”.Para el cuidado de la salud es imprescindible contar con centros asis­tenciales de primer nivel que brinden la seguridad de un servicio íntegro, razón por la conversamos con Sonia Cáceres, geren­te General del Sanatorio Migone Battilana, para conocer el correcto ma­nejo empresarial de un sanatorio.",www.facebook.com/182736288436188_1105797329463408,11,2,0
5 dias,2016-05-16T13:22:54+0000,"‘‘La inversión social es la principal para el desafío en la mejora de calidad de gasto’’ -...Julio Ramírez en su artículo ‘La calidad de gasto público y la política social’, explica que “es positivo considerar que se está comenzando a realizar evaluaciones de los retornos de los distintos programas sociales; dichas evaluaciones dan idea de cuan efectivo fueron algunos programas, en términos...",www.facebook.com/182736288436188_1105793282797146,1,2,0
5 dias,2016-05-16T13:22:08+0000,"“Para trabajar la cultura de seguros hace falta difusión y capacitación” - Diario 5dias http://www.5dias.com.py/46495-para-trabajar-la-cultura-de-seguros-hace-falta-difusion-y-capacitacionEl director ejecutivo de Aon Benfield -compañía internacional dedicada al rubro de aseguradoras- Fernando Rodríguez, conversó con el diario 5días, en el marco de su visita en Paraguay sobre la coyuntura del ámbito en el que se desenvuelve.",www.facebook.com/182736288436188_1105792946130513,11,12,0
5 dias,2016-05-16T13:21:47+0000,"Intercambio de ofertas con la UE es solo un primer paso - Diario 5diasEl Mercosur ha firmado acuerdos comerciales con distintos países, pero actualmente el acuerdo firmado con la Unión Europea (UE) ha sido el más importante, llegar al acuerdo con la UE es una tarea de hace 20 años, pero hoy ya es una realidad.",www.facebook.com/182736288436188_1105792816130526,0,0,0
5 dias,2016-05-16T13:09:24+0000,"Spot hecho en Paraguay se exhibe en la región - Diario 5dias http://www.5dias.com.py/46487-spot-hecho-en-paraguay-se-exhibe-en-la-regionParaguay logra traspasar fronteras a través de producción publicitaria hecha netamente a nivel local. Se trata del spot de Electrolux por el día de las madres, que también es presentado en las campañas tanto de Uruguay como de Bolivia.",www.facebook.com/182736288436188_1105787849464356,2,4,0
5 dias,2016-05-16T12:54:38+0000,"Brasil se reinventa. Cuidado - Diario 5diasParaguay da vueltas y vueltas, no se decide a encarar la fase operativa en obras mediante fórmulas APP. Y Brasil, con el flamante gobierno, las anuncia como parte de su programa de “salvación nacional”. Brasil se reinventa y nosotros, papando moscas.",www.facebook.com/182736288436188_1105782389464902,5,5,0
5 dias,2016-05-16T12:42:46+0000,"Sbarro también se instala en Paraguay - Diario 5dias Una franquicia americana más en el mercado local.Para los amantes de la pizza es una noticia maravillosa la llegada de Sbarro, cadena de restaurantes de los Estados Unidos, de origen italoamericano que tiene como especialidad pizzas con un estilo diferente.",www.facebook.com/182736288436188_1105777579465383,168,52,15
