source,created_time,text,url,likes,shares,comments
Extra,2016-05-16T16:45:00+0000,Descubrió mensajes en WhatsApp y la mató Un crimen pasional que se repite cada vez más a causa de los celos. Esta vez ocurrió en Brasil.,www.facebook.com/303614086512550_490621607811796,122,38,21
Extra,2016-05-16T16:30:00+0000,Actriz paraguaya participa en la nueva película de “Gilda” Loren Acuña se destaca en la Argentina. La artista también protagoniza el film “Madraza” a estrenarse próximamente.,www.facebook.com/303614086512550_490621251145165,44,3,0
Extra,2016-05-16T16:15:00+0000,Ofrecen 537 puestos laborales En la Oficina Nacional de Empleo reciben las postulaciones para más de 500 puestos. Ya se están recibiendo las solicitudes de trabajo.,www.facebook.com/303614086512550_490620894478534,198,310,34
Extra,2016-05-16T16:00:00+0000,"Misión más que cumplida El Sportin de Gijón del paraguayo Antonio Sanabria salvó la categoría en la última jornada de la liga española, venciendo a Villarreal por 2-0.",www.facebook.com/303614086512550_490620304478593,10,1,0
Extra,2016-05-16T15:30:00+0000,"Junto a una Miss, Cartes envió un “beso enorme a las mamis” Una miss de Santa Rita pudo sacar al presidente Cartes un peculiar saludo por el Día de las Madres.",www.facebook.com/303614086512550_490620127811944,20,0,3
Extra,2016-05-16T15:15:00+0000,El lujoso casamiento de la modelo Egny Eckert ¡Sorpresa! La ex Miss Paraguay del 2012 contrajo nupcias en el Brasil. Te contamos cómo fue.,www.facebook.com/303614086512550_490618857812071,858,45,37
Extra,2016-05-16T15:00:00+0000,"La Intermedia tiene un líder con mucha madera Con 18 puntos, Caaguazú es el puntero del certamen de la principal división de ascenso del fútbol paraguayo.",www.facebook.com/303614086512550_490617694478854,13,1,0
Extra,2016-05-16T14:45:00+0000,"La historia del extraño jardín de muñecas de doña Felicia La perturbadora belleza del jardín asombra a todo aquél que tiene la oportunidad de conocerlo en Yaguarón. Mirá por qué...Los niños que llegan a la casa se sienten atraídos por los juguetes, sin comprender lo importante que son las muñecas para doña Felicia. La perturbadora belleza del jardín de ña Felicia Florentín de Denis asombra a todo aquél que tiene la oportunidad de conocerlo. Más de 100 muñecas, o solo partes d...",www.facebook.com/303614086512550_490616637812293,83,34,1
Extra,2016-05-16T14:30:00+0000,"El Ciclón mide a Capiatá luego del café de Zapag Luego de las fuertes declaraciones del titular azulgrana, hoy el equipo de Cerro buscará cortar su racha de 6 partidos sin ganar.",www.facebook.com/303614086512550_490615111145779,3,1,0
Extra,2016-05-16T14:15:00+0000,Comisario les lleva a misa y da desayunos Es domingo por la mañana y los niños y jóvenes del barrio Santa Rosa de Reducto (San Lorenzo) saben que tienen una cita con el comisario de la zona y que no pueden faltar.,www.facebook.com/303614086512550_490610611146229,868,168,24
