Source,Date,Text,URL,Favorites,Retweets,Replies
La Nacion,2016-05-17 08:18:05,"Manchester City, en pre-Champions: la curiosa similitud con el Barcelona de Guardiola https://t.co/g5XOl3b3Rp https://t.co/TypdU2eRDL",http://www.twitter.com/LANACION/status/732485326518640640,2,1,0
La Nacion,2016-05-17 08:12:04,“La vida podría haber surgido de una serie de pasos químicos” https://t.co/DRiVAaJ5vA https://t.co/JBH82PJ5Rr,http://www.twitter.com/LANACION/status/732483813981310977,3,1,0
La Nacion,2016-05-17 08:07:05,"La vida de Ulloa: el origen en la CAI, la salida de la Argentina y el no a Chile https://t.co/hEv0BiwAwZ https://t.co/apYJmwFIKH",http://www.twitter.com/LANACION/status/732482557263011841,3,1,0
La Nacion,2016-05-17 08:03:03,Amplio operativo de seguridad en La Plata https://t.co/R6ig2idVhI,http://www.twitter.com/LANACION/status/732481544422445056,1,1,0
La Nacion,2016-05-17 07:50:05,"Después de Jujuy y Chubut, Tucumán firmó la devolución del 15% coparticipable https://t.co/w6kSvTaxpD https://t.co/YKVrNAamcU",http://www.twitter.com/LANACION/status/732478279249068032,3,4,0
La Nacion,2016-05-17 07:38:07,"Jorge Bustamante: ""La civilización nos fue apartando de lo natural"" https://t.co/ZeDIqrjBle https://t.co/25yotXGxNH",http://www.twitter.com/LANACION/status/732475268984512512,6,4,0
La Nacion,2016-05-17 07:24:56,"Los aliados históricos de EE.UU., cada vez más irritados con Trump https://t.co/g0uLWy0Jlg https://t.co/ISlCLFES9D",http://www.twitter.com/LANACION/status/732471951613038592,3,7,0
La Nacion,2016-05-17 07:10:57,Hyperloop: el intento de Silicon Valley de revolucionar el transporte de alta velocidad https://t.co/ptpLh1IzP5 https://t.co/rrGMrxHxoj,http://www.twitter.com/LANACION/status/732468430398316545,4,6,0
La Nacion,2016-05-17 06:57:55,Diego Brancatelli le respondió a Jorge Lanata tras sus polémicos discursos en los Martín ... https://t.co/ZKvG2rJK1p https://t.co/VpoyvTQCki,http://www.twitter.com/LANACION/status/732465152168058884,7,4,6
La Nacion,2016-05-17 06:43:56,Lali Espósito perdió el Martín Fierro pero fue consolada por Mariano Martínez https://t.co/wX9Sg4ASxP https://t.co/ScFWtzDwJ0,http://www.twitter.com/LANACION/status/732461633214107649,9,1,0
La Nacion,2016-05-17 06:38:59,"Deberán declarar sus bienes todos los gendarmes, prefectos y policías https://t.co/GSQTkGEDHu https://t.co/pWz4LUcQ1o",http://www.twitter.com/LANACION/status/732460386742460416,22,17,5
La Nacion,2016-05-17 06:35:56,El déficit fiscal de la provincia de Buenos Aires ascendió a $ 21.500 millones en 2015 https://t.co/FBfq605MEK https://t.co/436kkXFEcS,http://www.twitter.com/LANACION/status/732459619700736001,3,4,3
La Nacion,2016-05-17 06:22:57,Martín Fierro 2016: cómo fue el rating de la transmisión https://t.co/csmHWPk4C4 https://t.co/wEUIbAYT2M,http://www.twitter.com/LANACION/status/732456350639226881,8,6,0
La Nacion,2016-05-17 06:16:55,"Luis Segura: ""No hay ninguna renuncia; pasamos a cuarto intermedio para mañana"" https://t.co/Mn5UMWKo4Y https://t.co/ao6EQCjC5n",http://www.twitter.com/LANACION/status/732454835652435969,2,5,0
La Nacion,2016-05-17 06:14:02,"Tomás Ferrari: ""Hay optimismo y los italianos ya se están lanzando"" https://t.co/1CLIioUSN3 https://t.co/HKsyGzqMi8",http://www.twitter.com/LANACION/status/732454110478229506,1,6,1
La Nacion,2016-05-17 05:59:57,"La increíble recuperación de Lodeiro: se entrenó sin problemas, a 14 días de su operación... https://t.co/1hggmN8yEu https://t.co/wnjmTaqfhq",http://www.twitter.com/LANACION/status/732450565985198081,15,6,1
La Nacion,2016-05-17 05:46:56,"A clase con el maestro de la crónica, Martín Caparrós https://t.co/1unA2e3grD https://t.co/cGbcyWorqm",http://www.twitter.com/LANACION/status/732447290317668352,11,9,1
La Nacion,2016-05-17 05:41:56,"Justin Bieber pidió perdón a sus fans de la Argentina: ""No puedo ir hasta que las ... https://t.co/nbUwBPiZhQ https://t.co/xlOxDgsWkZ",http://www.twitter.com/LANACION/status/732446028377399296,7,4,9
La Nacion,2016-05-17 05:28:58,Tres cosas que no sabías de los Martín Fierro https://t.co/rTdVQ1yxkm https://t.co/PRrFgVzkvH,http://www.twitter.com/LANACION/status/732442768597913600,3,2,1
La Nacion,2016-05-17 05:25:57,"Jorge Fernández Díaz: "" El kirchnerismo quiere proponer al Gobierno un plan canje espurio"" https://t.co/IkeBIlE1Gi https://t.co/tMvWz1bOOR",http://www.twitter.com/LANACION/status/732442007558230017,9,10,0
