source,created_time,text,url,likes,shares,comments
Cronica,2016-05-30T13:30:00+0000,"Feroz pelea deja sin programas a famosos | Crónica Let TV es un Canal que desde hace dos meses estaba saliendo por el Canal 21 de Tigo Star, desde su estudio ubicado en México casi República de Colombia de Asunción. Cuando la mayoría de los empleados y algunos famosos hacían el sábado de noche su ensayo general, previo al lanzamiento oficial de la programación esta semana, se armó la podrida.",www.facebook.com/221252151293397_1042284622523475,202,8,5
Cronica,2016-05-30T13:20:00+0000,"Médico maká lucha por un puesto laboral | Crónica “En el 2005 la Gobernación de Central había dado una oportunidad de becas para estudiar Medicina en Cuba, me enteré a través de un profesor de Mariano Roque Alonso. Cuando le comenté a mi papá; él, contento, me dijo que me iba a apoyar en todo”, empezó contando Soxchi Benítez, doctor de la parcialidad maká, que fue hasta el país de Castro para ser un gran médico.",www.facebook.com/221252151293397_1042284115856859,734,45,14
Cronica,2016-05-30T13:10:00+0000,"Asalto de película en supermercado | Crónica En un segundo la gente empezó a correr hacia todos lados al oír los disparos, sin saber exactamente hacia dónde ir; mientras dos hombres tenían fijo el objetivo en el supermercado Real, ubicado sobre la ruta Acceso Sur y Fulgencio Yegros de la Zona Sur de Fernando de la Mora. El hecho ocurrió cerca de las 21:00 horas del sábado.",www.facebook.com/221252151293397_1042283505856920,148,10,6
Cronica,2016-05-30T13:00:00+0000,Carlos Troche ya es todo un señor casado | Crónica ¡Se casó nomás Carlos Troche! Uno de los eternos solteros de la televisión nacional juró amor eterno a Shelby Katyana González el sábado por la noche.,www.facebook.com/221252151293397_1042282919190312,4861,102,98
Cronica,2016-05-30T12:50:00+0000,"Lanús es el campeón argentino | Crónica Lanús es el rey del fútbol argentino. El cuadro “granate” literalmente le pasó por encima al San Lorenzo de Almagro, al que goleó por el categórico marcador de 4-0, en la finalísima jugada en el estadio Monumental de River Plate.",www.facebook.com/221252151293397_1042282242523713,369,1,4
Cronica,2016-05-30T12:40:00+0000,"Pobladores de Ñemby “tomaron” su cerro | Crónica Un grupo de pobladores de la ciudad de Ñemby anunció que no saldrán del cerro para evitar que la empresa Concret Mix SA siga extrayendo las piedras de lugar, ya que el sábado venció el contrato con la citada firma para la explotación del cerro, que fue otorgado por el Ministerio de Obras Públicas y Comunicaciones (MOPC).",www.facebook.com/221252151293397_1042281672523770,225,9,9
Cronica,2016-05-30T12:30:00+0000,"Bañado Tacumbú y el huésped que se resiste a salir | Crónica “Ya es el cuarto año que pasamos por esto, pero este último fue el más terrible. Muchos fueron a los refugios, mis parientes están ahí, pero nosotros decidimos quedarnos acá y arriba de mi casa construimos otras casitas”, empezó contando don Artemio Benítez, poblador del Bañado Tacumbú, sector que aún está repleto de agua.",www.facebook.com/221252151293397_1042277165857554,65,3,0
Cronica,2016-05-30T12:20:00+0000,"Su rebeldía de amor cumplió 60 años | Crónica Hace 60 años atrás enamorarse o gustarse de una persona que no compartía los mismos gustos políticos de la familia del “jegusta” era casi un pecado, o mejor, estaba totalmente prohibido.",www.facebook.com/221252151293397_1042272132524724,109,2,0
Cronica,2016-05-30T12:10:00+0000,"Muestran las heladeras vacías en Venezuela | Crónica “Hasta cuándo tanta miseria” y “La patética imagen de mi heladera, hecho en socialismo siglo XXI”, son algunas de las frases que pueden leerse junto a las fotografías de los refrigeradores vacíos. Medios de todo el mundo se han hecho eco de esta campaña de los venezolanos en las redes sociales, que ha logrado trascender sus fronteras.",www.facebook.com/221252151293397_1042271552524782,129,6,33
Cronica,2016-05-30T12:00:00+0000,"Baby Shower para unas 160 mamitas | Crónica Con la presencia de 160 embarazadas se llevó a cabo el quinto “Baby Shower Comunitario”, en el contexto de la Movilización Nacional para la disminución de la Mortalidad Materna y del Recién Nacido “Cero Muertes Evitables”. Todas las mamis que cumplen con sus controles y asisten a las reuniones del “Club de Madres” al final se llevan este agasajo, con regalitos para los bebecitos.",www.facebook.com/221252151293397_1042266339191970,204,3,1
