Source,Date,Text,URL,Favorites,Retweets,Replies
Ea,2015-11-20 19:33:13,Tres proyectos paraguayos seleccionados en Ibermedia 2015 https://t.co/aOHQTIaGfG,http://www.twitter.com/periodicoEa/status/667787801732194304,1,1,1
Ea,2015-11-13 02:13:30,Juan Vera Esquivel seleccionado en el prestigioso “Festival de guitarras del mundo 2015” https://t.co/KVAIBA4mtL,http://www.twitter.com/periodicoEa/status/664989435151405056,1,0,0
Ea,2015-10-14 17:07:15,Rechazan propaganda sionista en la Bienal http://t.co/ZkMf3LIDYz,http://www.twitter.com/periodicoEa/status/654342716252401664,5,4,0
Ea,2015-10-14 11:48:28,SPP y estudiantes de Filosofía UNA convocan al “Festival por la vida y la palabra”. Este jueves 15 de octubre. http://t.co/CAUxjwcm2X,http://www.twitter.com/periodicoEa/status/654262494056333312,1,2,0
Ea,2015-10-14 11:47:19,Docentes de la OTEP-SN denuncian despidos y persecución. http://t.co/nGzEpwNKfS,http://www.twitter.com/periodicoEa/status/654262201499451392,1,1,0
Ea,2015-10-14 11:46:37,El partido que Paraguay ganó por goleada. Estudiantes secundarios y universitarios juntos por mejor educación. http://t.co/fU2DERNajy,http://www.twitter.com/periodicoEa/status/654262028513771520,2,8,0
Ea,2015-10-10 15:15:02,Choferes de la Línea 49 cumplen más de 100 días crucificados. http://t.co/aAIourxVXq,http://www.twitter.com/periodicoEa/status/652864924029452288,0,4,0
Ea,2015-10-10 15:14:21,Carajo detonará Asunción esta noche. http://t.co/PkyHn7EVvY,http://www.twitter.com/periodicoEa/status/652864754499907584,0,0,0
Ea,2015-10-10 15:13:38,“Todos los días hasta que renuncie”. Estudiantes de Filosofía UNA siguien movilizados por la renuncia de la decana. http://t.co/H69WTY2372,http://www.twitter.com/periodicoEa/status/652864575038205952,0,1,1
Ea,2015-10-10 01:32:19,La primavera estudiantil http://t.co/NRvLPU4qI5,http://www.twitter.com/periodicoEa/status/652657880815022080,1,4,0
Ea,2015-10-10 01:18:56,Empleadas domésticas marchan exigiendo igualdad salarial http://t.co/pXOwcAueHh,http://www.twitter.com/periodicoEa/status/652654515884326912,2,1,0
Ea,2015-10-09 14:21:12,Tremendos daños causa a las sociedades la concentración mediática. http://t.co/DGvXhQl6Sx,http://www.twitter.com/periodicoEa/status/652488991808319488,1,2,1
Ea,2015-10-09 14:20:16,Realizan seminario por la libertad de expresión y contra la narcopolítica. http://t.co/qtCARLKwmN,http://www.twitter.com/periodicoEa/status/652488753034993664,0,0,0
Ea,2015-09-29 16:20:17,UNA democracia urgente y necesaria. Por Orlando Aguirre. http://t.co/bgLkKwAoUR,http://www.twitter.com/periodicoEa/status/648895078765830145,0,0,0
Ea,2015-09-26 16:29:53,"Senavitat aplica una política discriminatoria, señalan cooperativistas. http://t.co/27s328erzX",http://www.twitter.com/periodicoEa/status/647810331671179264,1,3,0
Ea,2015-09-26 16:28:26,Presentan urgimiento en caso de niños abusados por sacerdotes. http://t.co/5NUvPt5gRm,http://www.twitter.com/periodicoEa/status/647809967421001728,1,1,0
Ea,2015-09-25 14:26:52,"El viejo stronismo en la UNA, el mismo que sigue ahogando al Paraguay. http://t.co/OLwVu3jU19",http://www.twitter.com/periodicoEa/status/647416984867602432,4,5,1
Ea,2015-09-24 14:07:09,Hoy tratan en el Senado conformación de ternas para Defensoría del Pueblo. http://t.co/2GHHVbQVOF,http://www.twitter.com/periodicoEa/status/647049637220773888,1,1,0
Ea,2015-09-24 13:49:05,Floreció el movimiento estudiantil dando esperanzas a todo el país. http://t.co/2bhbz0sabz,http://www.twitter.com/periodicoEa/status/647045090981085185,3,4,0
Ea,2015-09-24 13:27:08,Hoy realizan debate en campamento de choferes crucificados. http://t.co/tGPJb5fM94,http://www.twitter.com/periodicoEa/status/647039565308514304,0,1,0
Ea,2015-09-21 16:13:08,“Cada vez se escucharán menos voces”. Supuesta compra de radio Cardinal de parte de Aldo Zuccolillo. http://t.co/RKmKgrwOnE,http://www.twitter.com/periodicoEa/status/645994175314436096,2,4,1
Ea,2015-09-21 15:18:53,Piden intervención de la Línea 49. Choferes están crucificados hace 84 días tras haber sido despedidos. http://t.co/U2q703dzKo,http://www.twitter.com/periodicoEa/status/645980525992235008,0,5,0
Ea,2015-09-19 18:50:22,UNA: denuncian postulación irregular de funcionario a la presidencia del centro de estudiantes. http://t.co/uKuTcy1jjJ,http://www.twitter.com/periodicoEa/status/645308969704144896,0,0,0
Ea,2015-09-19 16:05:52,"El ministro de Trabajo, la política económica y la tarea del movimiento sindical y social. http://t.co/zdN6NX5Kc4",http://www.twitter.com/periodicoEa/status/645267573051916288,0,2,0
Ea,2015-09-18 19:48:26,Caso Curuguaty: juicio fue pospuesto para el próximo viernes. http://t.co/K4EY2lh0p9,http://www.twitter.com/periodicoEa/status/644961194080645120,0,0,0
Ea,2015-09-18 18:33:47,Miles de estudiantes marcharon en exigencia de una mejor educación. http://t.co/spamcYnSa2,http://www.twitter.com/periodicoEa/status/644942407449116672,7,7,0
Ea,2015-09-17 15:28:06,Universitarios anuncian participación en marcha estudiantil. Este viernes 18 de setiembre realizarán marcha. http://t.co/ZgGkfdYv4F,http://www.twitter.com/periodicoEa/status/644533291664711680,3,2,0
Ea,2015-09-17 15:26:24,Sindicalista acusa al ministro del Trabajo de actuar como un patrón más. http://t.co/zgAX5e6Kt8,http://www.twitter.com/periodicoEa/status/644532865703780356,0,1,0
Ea,2015-09-16 15:52:58,“Los seis campesinos fueron condenados por un delito que no cometieron”. Caso de los condenados por el caso Cecilia. http://t.co/OveqUIf3Zh,http://www.twitter.com/periodicoEa/status/644177162606669829,1,1,0
Ea,2015-09-16 15:51:45,Campesinos rechazan supuesta donación de Campos Morombí. http://t.co/0TypuSQfk6,http://www.twitter.com/periodicoEa/status/644176858460893185,0,3,0
Ea,2015-09-16 15:50:58,Marcha estudiantil: dudan de la voluntad de “diálogo” expresada por el gobierno. http://t.co/PD7Gq93uei,http://www.twitter.com/periodicoEa/status/644176660619726849,1,1,0
Ea,2015-09-16 14:47:29,Rúa se estrena este sábado http://t.co/NEusrIhf4F,http://www.twitter.com/periodicoEa/status/644160681630167040,1,1,0
Ea,2015-09-15 16:15:12,El gobierno dice ahora que “dialogará” con los estudiantes. http://t.co/CrWQ5mxRdp,http://www.twitter.com/periodicoEa/status/643820371607687168,0,0,0
Ea,2015-09-15 15:47:55,"Cartes sigue acumulando medios y cerrando radios comunitarias, denuncian. http://t.co/4UKipIxMDo",http://www.twitter.com/periodicoEa/status/643813503501996032,1,5,0
Ea,2015-09-15 15:46:15,Organizaciones llevaron apoyo a choferes crucificados. http://t.co/bGzmSWQuVb,http://www.twitter.com/periodicoEa/status/643813085518635008,1,5,0
Ea,2015-09-15 15:45:28,Rechazan intento de blanquear usurpación de Campos Morombí. http://t.co/0uWN0VQEdJ,http://www.twitter.com/periodicoEa/status/643812886465380353,1,2,0
Ea,2015-09-15 15:44:42,Ganaderas siguen trabando mensura en la Colonia Barbero. http://t.co/UPZXeB0of0,http://www.twitter.com/periodicoEa/status/643812695205126145,1,1,0
Ea,2015-09-15 15:43:47,Acusan a Cartes de ser un peligro para la democracia y el pluralismo. http://t.co/EVI2EDB5IM,http://www.twitter.com/periodicoEa/status/643812461783719937,2,4,0
Ea,2015-09-11 23:41:52,Jazz ha py http://t.co/xoeWGrI14Y,http://www.twitter.com/periodicoEa/status/642483227798695936,0,1,0
Ea,2015-09-09 15:04:33,"Samaniego no dio la cara, pero mandó a su barra - E'a http://t.co/ADzTXHLJNo",http://www.twitter.com/periodicoEa/status/641628261416628224,0,3,0
Ea,2015-09-09 15:03:39,Trabajadores de la UC se manifestarán frente a la CEP - E'a http://t.co/mZY7qemoAn,http://www.twitter.com/periodicoEa/status/641628038099300352,0,1,0
Ea,2015-09-08 15:32:45,Curuguaty: la emboscada de la (in)justicia - E'a http://t.co/xQnjFECyG0,http://www.twitter.com/periodicoEa/status/641272973295513601,1,2,0
Ea,2015-09-08 14:10:53,Caso Curuguaty: presentaron denuncia penal contra jueces - E'a http://t.co/NzTHOoTpY8,http://www.twitter.com/periodicoEa/status/641252368865169409,0,0,0
Ea,2015-09-03 22:26:09,Escritor paraguayo en la Feria Internacional del Libro de Formosa http://t.co/F10S4Q0kB7,http://www.twitter.com/periodicoEa/status/639565067080593408,1,1,0
Ea,2015-09-03 22:21:59,Documental Rúa se estrena en setiembre http://t.co/r0E8kGhPTr,http://www.twitter.com/periodicoEa/status/639564018219384833,1,0,0
Ea,2015-09-03 18:29:36,Rechazan recusación contra tribunal de sentencia - E'a http://t.co/YfBue7ykBg,http://www.twitter.com/periodicoEa/status/639505537412038656,0,0,0
Ea,2015-09-03 15:19:24,Ya no son tiempos de poesía galante - E'a http://t.co/TENVKtqHnV,http://www.twitter.com/periodicoEa/status/639457673260453888,0,1,0
Ea,2015-09-03 14:49:12,Este viernes se realiza el Festival por la tierra y la paz - E'a http://t.co/wF4H0FEoIa,http://www.twitter.com/periodicoEa/status/639450071411654657,0,1,0
Ea,2015-09-03 14:17:27,Abogado de campesinos acusados afirma que el juicio debe anularse - E'a http://t.co/CLuihRBqby,http://www.twitter.com/periodicoEa/status/639442084940877824,0,1,0
Ea,2015-09-02 15:53:14,"Estudio de la Armada norteamericana para un plan de dragado costará USD 16,5 millones - E'a http://t.co/fMo7Z8cuR3",http://www.twitter.com/periodicoEa/status/639103798523371520,0,1,0
Ea,2015-09-02 15:07:18,Caso Curuguaty: recusan a tribunal y juicio se suspende - E'a http://t.co/webi6Ey4Z1,http://www.twitter.com/periodicoEa/status/639092240586022912,2,2,0
Ea,2015-09-01 21:00:22,Estrenan documental sobre indígenas desplazados por Yacyreta http://t.co/C2Vf5KsPf2,http://www.twitter.com/periodicoEa/status/638818703270801408,0,0,0
